diagnosis_code,diagnosis_description,overlap_1FL
675.22,"Nonpurulent mastitis associated with childbirth, delivered, with mention of postpartum complication",0
647.94,"Unspecified infection or infestation of mother, postpartum condition or complication",0
672.04,"Pyrexia of unknown origin during the puerperium, postpartum condition or complication",0
655.01,"Central nervous system malformation in fetus, delivered, with or without mention of antepartum condition",0
659.01,"Failed mechanical induction of labor, delivered, with or without mention of antepartum condition",0
635.72,"Legally induced abortion, with other specified complications, complete",0
655.9,"Unspecified suspected fetal abnormality, affecting management of mother, unspecified as to episode of care or not applicable",0
643.1,"Hyperemesis gravidarum with metabolic disturbance, unspecified as to episode of care or not applicable",0
672,"Pyrexia of unknown origin during the puerperium, unspecified as to episode of care or not applicable",0
668.82,"Other complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication",0
670.02,"Major puerperal infection, delivered, with mention of postpartum complication",0
663.83,"Other umbilical cord complications complicating labor and delivery, antepartum condition or complication",0
655.21,"Hereditary disease in family possibly affecting fetus, affecting management of mother, delivered, with or without mention of antepartum condition",0
674.3,"Other complications of obstetrical surgical wounds, unspecified as to episode of care or not applicable",0
641.3,"Antepartum hemorrhage associated with coagulation defects, unspecified as to episode of care or not applicable",0
676.04,"Retracted nipple associated with childbirth, postpartum condition or complication",0
654.71,"Congenital or acquired abnormality of vagina, delivered, with or without mention of antepartum condition",0
675.23,"Nonpurulent mastitis associated with childbirth, antepartum condition or complication",0
656.4,"Intrauterine death, affecting management of mother, unspecified as to episode of care or not applicable",0
634.11,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, incomplete",0
652.51,"High head at term, delivered, with or without mention of antepartum condition",0
654.33,"Retroverted and incarcerated gravid uterus, antepartum condition or complication",0
669.82,"Other complications of labor and delivery, delivered, with mention of postpartum complication",0
674.22,"Disruption of perineal wound, delivered, with mention of postpartum complication",0
653.73,"Other fetal abnormality causing disproportion, antepartum condition or complication",0
664.91,"Unspecified trauma to perineum and vulva, delivered, with or without mention of antepartum condition",0
655,"Central nervous system malformation in fetus, unspecified as to episode of care or not applicable",0
671.02,"Varicose veins of legs complicating pregnancy and the puerperium, delivered, with mention of postpartum complication",0
670.84,"Other major puerperal infection, postpartum condition or complication",0
641,"Placenta previa without hemorrhage, unspecified as to episode of care or not applicable",0
674.24,"Disruption of perineal wound, postpartum condition or complication",0
642.24,"Other pre-existing hypertension,complicating pregnancy, childbirth, and the puerperium, , postpartum condition or complication",0
760.71,Alcohol affecting fetus or newborn via placenta or breast milk,0
642.62,"Eclampsia, delivered, with mention of postpartum complication",0
668.01,"Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition",0
664.51,"Vulvar and perineal hematoma, delivered, with or without mention of antepartum condition",0
640.8,"Other specified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable",0
658.3,"Delayed delivery after artificial rupture of membranes, unspecified as to episode of care or not applicable",0
674.03,"Cerebrovascular disorders in the puerperium, antepartum condition or complication",0
674.01,"Cerebrovascular disorders in the puerperium, delivered, with or without mention of antepartum condition",0
659.13,"Failed medical or unspecified induction of labor, antepartum condition or complication",0
669.22,"Maternal hypotension syndrome, delivered, with mention of postpartum complication",0
646.01,"Papyraceous fetus, delivered, with or without mention of antepartum condition",0
675.14,"Abscess of breast associated with childbirth, postpartum condition or complication",0
664.14,"Second-degree perineal laceration, postpartum condition or complication",0
642.54,"Severe pre-eclampsia, postpartum condition or complication",0
667.14,"Retained portions of placenta or membranes, without hemorrhage, postpartum condition or complication",0
665.64,"Damage to pelvic joints and ligaments, postpartum condition or complication",0
635.91,"Legally induced abortion, without mention of complication, incomplete",0
669.23,"Maternal hypotension syndrome, antepartum condition or complication",0
659.31,"Generalized infection during labor, delivered, with or without mention of antepartum condition",0
656.93,"Unspecified fetal and placental problem, affecting management of mother, antepartum condition or complication",0
674.04,"Cerebrovascular disorders in the puerperium, postpartum condition or complication",0
671.2,"Superficial thrombophlebitis complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable",0
649.02,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",0
660.11,"Obstruction by bony pelvis during labor, delivered, with or without mention of antepartum condition",0
647.62,"Other viral diseases in the mother, delivered, with mention of postpartum complication",0
651.1,"Triplet pregnancy, unspecified as to episode of care or not applicable",0
651.11,"Triplet pregnancy, delivered, with or without mention of antepartum condition",0
671.13,"Varicose veins of vulva and perineum complicating pregnancy and the puerperium, antepartum condition or complication",0
670.04,"Major puerperal infection, postpartum condition or complication",0
664.84,"Other specified trauma to perineum and vulva, postpartum condition or complication",0
674.8,"Other complications of puerperium, unspecified as to episode of care or not applicable",0
654.54,"Cervical incompetence, postpartum condition or complication",0
661.93,"Unspecified abnormality of labor, antepartum condition or complication",0
676.91,"Unspecified disorder of lactation, delivered, with or without mention of antepartum condition",0
665.1,"Rupture of uterus during labor, unspecified as to episode of care or not applicable",0
648.74,"Bone and joint disorders of back, pelvis, and lower limbs of mother, postpartum condition or complication",0
654.14,"Tumors of body of uterus, postpartum condition or complication",0
665.93,"Unspecified obstetrical trauma, antepartum condition or complication",0
652.93,"Unspecified malposition or malpresentation, antepartum condition or complication",0
634.72,"Spontaneous abortion, with other specified complications, complete",0
661.2,"Other and unspecified uterine inertia, unspecified as to episode of care or not applicable",0
671.24,"Superficial thrombophlebitis complicating pregnancy and the puerperium, postpartum condition or complication",0
642.02,"Benign essential hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication",0
633.11,Tubal pregnancy with intrauterine pregnancy,0
639.8,Other specified complications following abortion or ectopic and molar pregnancy,0
647.12,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",0
660.63,"Unspecified failed trial of labor, antepartum condition or complication",0
760.3,Other chronic maternal circulatory and respiratory diseases affecting fetus or newborn,0
646.24,"Unspecified renal disease in pregnancy, without mention of hypertension, postpartum condition or complication",0
648.72,"Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with mention of postpartum complication",0
676.14,"Cracked nipple associated with childbirth, postpartum condition or complication",0
655.63,"Suspected damage to fetus from radiation, affecting management of mother, antepartum condition or complication",0
663.41,"Short cord complicating labor and delivery, delivered, with or without mention of antepartum condition",0
665.91,"Unspecified obstetrical trauma, delivered, with or without mention of antepartum condition",0
648.5,"Congenital cardiovascular disorders of mother, unspecified as to episode of care or not applicable",0
634.52,"Spontaneous abortion, complicated by shock, complete",0
667,"Retained placenta without hemorrhage, unspecified as to episode of care or not applicable",0
654.31,"Retroverted and incarcerated gravid uterus, delivered, with mention of antepartum condition",0
651.23,"Quadruplet pregnancy, antepartum condition or complication",0
673.23,"Obstetrical blood-clot embolism, antepartum condition or complication",0
662.2,"Prolonged second stage of labor, unspecified as to episode of care or not applicable",0
659.1,"Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable",0
664.24,"Third-degree perineal laceration, postpartum condition or complication",0
674.51,"Peripartum cardiomyopathy, delivered, with or without mention of antepartum condition",0
665.5,"Other injury to pelvic organs, unspecified as to episode of care or not applicable",0
660.6,"Unspecified failed trial of labor, unspecified as to episode of care or not applicable",0
652.83,"Other specified malposition or malpresentation, antepartum condition or complication",0
665.71,"Pelvic hematoma, delivered, with or without mention of antepartum condition",0
661.41,"Hypertonic, incoordinate, or prolonged uterine contractions, delivered, with or without mention of antepartum condition",0
665.11,"Rupture of uterus during labor, delivered, with or without mention of antepartum condition",0
674.2,"Disruption of perineal wound, unspecified as to episode of care or not applicable",0
652.6,"Multiple gestation with malpresentation of one fetus or more, unspecified as to episode of care or not applicable",0
668.04,"Pulmonary complications of anesthesia or other sedation in labor and delivery, postpartum condition or complication",0
660.21,"Obstruction by abnormal pelvic soft tissues during labor, delivered, with or without mention of antepartum condition",0
674,"Cerebrovascular disorders in the puerperium, unspecified as to episode of care or not applicable",0
664.61,"Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration, delivered, with or without mention of antepartum condition",0
661.43,"Hypertonic, incoordinate, or prolonged uterine contractions, antepartum condition or complication",0
653.01,"Major abnormality of bony pelvis, not further specified, delivered, with or without mention of antepartum condition",0
656.03,"Fetal-maternal hemorrhage, antepartum condition or complication",0
658.31,"Delayed delivery after artificial rupture of membranes, delivered, with or without mention of antepartum condition",0
659.03,"Failed mechanical induction of labor, antepartum condition or complication",0
663.1,"Cord around neck with compression, complicating labor and delivery, unspecified as to episode of care or not applicable",0
673.24,"Obstetrical blood-clot embolism, postpartum condition or complication",0
663.2,"Other and unspecified cord entanglement, with compression, complicating labor and delivery, unspecified as to episode of care or not applicable",0
658.8,"Other problems associated with amniotic cavity and membranes, unspecified as to episode of care or not applicable",0
641.8,"Other antepartum hemorrhage, unspecified as to episode of care or not applicable",0
667.04,"Retained placenta without hemorrhage, postpartum condition or complication",0
665.03,"Rupture of uterus before onset of labor, antepartum condition or complication",0
653.13,"Generally contracted pelvis, antepartum condition or complication",0
651.13,"Triplet pregnancy, antepartum condition or complication",0
669.9,"Unspecified complication of labor and delivery, unspecified as to episode of care or not applicable",0
634.12,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, complete",0
647.34,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication",0
653.71,"Other fetal abnormality causing disproportion, delivered, with or without mention of antepartum condition",0
654.4,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, unspecified as to episode of care or not applicable",0
647.82,"Other specified infectious and parasitic diseases of mother, delivered, with mention of postpartum complication",0
663.51,"Vasa previa complicating labor and delivery, delivered, with or without mention of antepartum condition",0
663.5,"Vasa previa complicating labor and delivery, unspecified as to episode of care or not applicable",0
663.53,"Vasa previa complicating labor and delivery, antepartum condition or complication",0
660.71,"Failed forceps or vacuum extractor, unspecified, delivered, with or without mention of antepartum condition",0
634.81,"Spontaneous abortion, with unspecified complication, incomplete",0
662.01,"Prolonged first stage of labor, delivered, with or without mention of antepartum condition",0
671.42,"Deep phlebothrombosis, postpartum, delivered, with mention of postpartum complication",0
659.21,"Maternal pyrexia during labor, unspecified, delivered, with or without mention of antepartum condition",0
667.1,"Retained portions of placenta or membranes, without hemorrhage, unspecified as to episode of care or not applicable",0
658.91,"Unspecified problem associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",0
660.43,"Shoulder (girdle) dystocia, antepartum condition or complication",0
648.12,"Thyroid dysfunction of mother, delivered, with mention of postpartum complication",0
635.81,"Legally induced abortion, with unspecified complication, incomplete",0
655.31,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition",0
666.34,"Postpartum coagulation defects, postpartum condition or complication",0
658.93,"Unspecified problem associated with amniotic cavity and membranes, antepartum condition or complication",0
637.82,"Unspecified abortion, with unspecified complication, complete",0
649.82,"Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section, delivered, with mention of postpartum complication",0
649.34,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",0
670.2,"Puerperal sepsis, unspecified as to episode of care or not applicable",0
658.83,"Other problems associated with amniotic cavity and membranes, antepartum",0
669.8,"Other complications of labor and delivery, unspecified as to episode of care or not applicable",0
661.23,"Other and unspecified uterine inertia, antepartum condition or complication",0
671.21,"Superficial thrombophlebitis complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition",0
669.2,"Maternal hypotension syndrome, unspecified as to episode of care or not applicable",0
647.41,"Malaria in the mother, delivered, with or without mention of antepartum condition",0
659.8,"Other specified indications for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable",0
647.3,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",0
645.2,"Prolonged pregnancy, unspecified as to episode of care or not applicable",0
637.11,"Unspecified abortion, complicated by delayed or excessive hemorrhage, incomplete",0
663.33,"Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, antepartum condition or complication",0
649.44,"Epilepsy complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",0
676.51,"Suppressed lactation, delivered, with or without mention of antepartum condition",0
661,"Primary uterine inertia, unspecified as to episode of care or not applicable",0
664.2,"Third-degree perineal laceration, unspecified as to episode of care or not applicable",0
654.04,"Congenital abnormalities of uterus, postpartum condition or complication",0
671.44,"Deep phlebothrombosis, postpartum, postpartum condition or complication",0
665.74,"Pelvic hematoma, postpartum condition or complication",0
676.93,"Unspecified disorder of lactation, antepartum condition or complication",0
659.83,"Other specified indications for care or intervention related to labor and delivery, antepartum condition or complication",0
669.01,"Maternal distress complicating labor and delivery, delivered, with or without mention of antepartum condition",0
654.3,"Retroverted and incarcerated gravid uterus, unspecified as to episode of care or not applicable",0
664.44,"Unspecified perineal laceration, postpartum condition or complication",0
640.81,"Other specified hemorrhage in early pregnancy, delivered, with or without mention of antepartum condition",0
634,"Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified",0
663,"Prolapse of cord complicating labor and delivery, unspecified as to episode of care or not applicable",0
661.91,"Unspecified abnormality of labor, delivered, with or without mention of antepartum condition",0
675.04,"Infections of nipple associated with childbirth, postpartum condition or complication",0
676.81,"Other disorders of lactation, delivered, with or without mention of antepartum condition",0
653.11,"Generally contracted pelvis, delivered, with or without mention of antepartum condition",0
633.8,Other ectopic pregnancy without intrauterine pregnancy,0
643.11,"Hyperemesis gravidarum with metabolic disturbance, delivered, with or without mention of antepartum condition",0
663.03,"Prolapse of cord complicating labor and delivery, antepartum condition or complication",0
676.2,"Engorgement of breasts associated with childbirth, unspecified as to episode of care or not applicable",0
661.4,"Hypertonic, incoordinate, or prolonged uterine contractions, unspecified as to episode of care or not applicable",0
676.31,"Other and unspecified disorder of breast associated with childbirth, delivered, with or without mention of antepartum condition",0
668.02,"Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication",0
656.91,"Unspecified fetal and placental problem, affecting management of mother, delivered, with or without mention of antepartum condition",0
673.12,"Amniotic fluid embolism, delivered, with mention of postpartum complication",0
671,"Varicose veins of legs complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable",0
653.53,"Unusually large fetus causing disproportion, antepartum condition or complication",0
662,"Prolonged first stage of labor, unspecified as to episode of care or not applicable",0
652.03,"Unstable lie, antepartum condition or complication",0
647.53,"Rubella in the mother, antepartum condition or complication",0
665.22,"Inversion of uterus, delivered, with mention of postpartum complication",0
659.91,"Unspecified indication for care or intervention related to labor and delivery, delivered, with or without mention of antepartum condition",0
664,"First-degree perineal laceration, unspecified as to episode of care or not applicable",0
639.9,Unspecified complication following abortion or ectopic and molar pregnancy,0
635.01,"Legally induced abortion, complicated by genital tract and pelvic infection, incomplete",0
639,Genital tract and pelvic infection following abortion or ectopic and molar pregnancies,0
654.83,"Congenital or acquired abnormality of vulva, antepartum condition or complication",0
669.1,"Shock during or following labor and delivery, unspecified as to episode of care or not applicable",0
659.3,"Generalized infection during labor, unspecified as to episode of care or not applicable",0
648.7,"Bone and joint disorders of back, pelvis, and lower limbs of mother, unspecified as to episode of care or not applicable",0
635.02,"Legally induced abortion, complicated by genital tract and pelvic infection, complete",0
654.8,"Congenital or acquired abnormality of vulva, unspecified as to episode of care or not applicable",0
641.33,"Antepartum hemorrhage associated with coagulation defects, antepartum condition or complication",0
664.04,"First-degree perineal laceration, postpartum condition or complication",0
673.84,"Other obstetrical pulmonary embolism, postpartum condition or complication",0
673.04,"Obstetrical air embolism, postpartum condition or complication",0
647.24,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication",0
673.02,"Obstetrical air embolism, delivered, with mention of postpartum complication",0
639.5,Shock following abortion or ectopic and molar pregnancies,0
633.91,Unspecified ectopic pregnancy with intrauterine pregnancy,0
654.52,"Cervical incompetence, delivered, with mention of postpartum complication",0
661.33,"Precipitate labor, antepartum condition or complication",0
637.8,"Unspecified abortion, with unspecified complication, unspecified",0
676.22,"Engorgement of breasts associated with childbirth, delivered, with mention of postpartum complication",0
659.23,"Maternal pyrexia during labor, unspecified, antepartum condition or complication",0
668.03,"Pulmonary complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication",0
651.21,"Quadruplet pregnancy, delivered, with or without mention of antepartum condition",0
643.81,"Other vomiting complicating pregnancy, delivered, with or without mention of antepartum condition",0
638.2,Failed attempted abortion complicated by damage to pelvic organs or tissues,0
646.22,"Unspecified renal disease in pregnancy, without mention of hypertension, delivered, with mention of postpartum complication",0
676.3,"Other and unspecified disorder of breast associated with childbirth, unspecified as to episode of care or not applicable",0
637.1,"Unspecified abortion, complicated by delayed or excessive hemorrhage, unspecified",0
646,"Papyraceous fetus, unspecified as to episode of care or not applicable",0
671.51,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition",0
642.6,"Eclampsia, unspecified as to episode of care or not applicable",0
675.83,"Other specified infections of the breast and nipple associated with childbirth, antepartum condition or complication",0
647.22,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",0
654.64,"Other congenital or acquired abnormality of cervix, postpartum condition or complication",0
665.7,"Pelvic hematoma, unspecified as to episode of care or not applicable",0
652.8,"Other specified malposition or malpresentation, unspecified as to episode of care or not applicable",0
664.64,"Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration, postpartum condition or complication",0
671.52,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with mention of postpartum complication",0
665.44,"High vaginal laceration, postpartum condition or complication",0
665.6,"Damage to pelvic joints and ligaments, unspecified as to episode of care or not applicable",0
652.13,"Breech or other malpresentation successfully converted to cephalic presentation, antepartum condition or complication",0
656.9,"Unspecified fetal and placental problem, affecting management of mother, unspecified as to episode of care or not applicable",0
665.83,"Other specified obstetrical trauma, antepartum condition or complication",0
763.4,Cesarean delivery affecting fetus or newborn,0
671.04,"Varicose veins of legs complicating pregnancy and the puerperium, postpartum condition or complication",0
638.8,Failed attempted abortion with unspecified complication,0
651.8,"Other specified multiple gestation, unspecified as to episode of care or not applicable",0
634.7,"Spontaneous abortion, with other specified complications, unspecified",0
669.61,"Breech extraction, without mention of indication, delivered, with or without mention of antepartum condition",0
654.44,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, postpartum condition or complication",0
653.43,"Fetopelvic disproportion, antepartum condition or complication",0
676.64,"Galactorrhea associated with childbirth, postpartum condition or complication",0
670.32,"Puerperal septic thrombophlebitis, delivered, with mention of postpartum complication",0
651.81,"Other specified multiple gestation, delivered, with or without mention of antepartum condition",0
648.6,"Other cardiovascular diseases of mother, unspecified as to episode of care or not applicable",0
669.3,"Acute kidney failure following labor and delivery, unspecified as to episode of care or not applicable",0
676.23,"Engorgement of breasts associated with childbirth, antepartum condition or complication",0
676.11,"Cracked nipple associated with childbirth, delivered, with or without mention of antepartum condition",0
669.44,"Other complications of obstetrical surgery and procedures, postpartum condition or complication",0
676.6,"Galactorrhea associated with childbirth, unspecified as to episode of care or not applicable",0
663.23,"Other and unspecified cord entanglement, with compression, complicating labor and delivery, antepartum condition or complication",0
655.41,"Suspected damage to fetus from other disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition",0
675.21,"Nonpurulent mastitis associated with childbirth, delivered, with or without mention of antepartum condition",0
673.81,"Other obstetrical pulmonary embolism, delivered, with or without mention of antepartum condition",0
633.81,Other ectopic pregnancy with intrauterine pregnancy,0
656,"Fetal-maternal hemorrhage, unspecified as to episode of care or not applicable",0
665.84,"Other specified obstetrical trauma, postpartum condition or complication",0
660.1,"Obstruction by bony pelvis during labor, unspecified as to episode of care or not applicable",0
673.33,"Obstetrical pyemic and septic embolism, antepartum condition or complication",0
668.22,"Central nervous system complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication",0
651.91,"Unspecified multiple gestation, delivered, with or without mention of antepartum condition",0
647.92,"Unspecified infection or infestation of mother, delivered, with mention of postpartum complication",0
647.04,"Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",0
652.3,"Transverse or oblique presentation, unspecified as to episode of care or not applicable",0
671.54,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, postpartum condition or complication",0
671.5,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable",0
669.6,"Breech extraction, without mention of indication, unspecified as to episode of care or not applicable",0
675.02,"Infections of nipple associated with childbirth, delivered, with mention of postpartum complication",0
674.02,"Cerebrovascular disorders in the puerperium, delivered, with mention of postpartum complication",0
635.1,"Legally induced abortion, complicated by delayed or excessive hemorrhage, unspecified",0
661.1,"Secondary uterine inertia, unspecified as to episode of care or not applicable",0
654.7,"Congenital or acquired abnormality of vagina, unspecified as to episode of care or not applicable",0
646.41,"Peripheral neuritis in pregnancy, delivered, with or without mention of antepartum condition",0
668.24,"Central nervous system complications of anesthesia or other sedation in labor and delivery, postpartum condition or complication",0
661.3,"Precipitate labor, unspecified as to episode of care or not applicable",0
676.61,"Galactorrhea associated with childbirth, delivered, with or without mention of antepartum condition",0
659,"Failed mechanical induction of labor, unspecified as to episode of care or not applicable",0
668.11,"Cardiac complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition",0
660.93,"Unspecified obstructed labor, antepartum condition or complication",0
676.41,"Failure of lactation, delivered, with or without mention of antepartum condition",0
649.64,"Uterine size date discrepancy, postpartum condition or complication",0
760.2,Maternal infections affecting fetus or newborn,0
646.54,"Asymptomatic bacteriuria in pregnancy, postpartum condition or complication",0
634.82,"Spontaneous abortion, with unspecified complication, complete",0
668.9,"Unspecified complication of anesthesia and other sedation in labor and delivery, unspecified as to episode of care or not applicable",0
660.33,"Deep transverse arrest and persistent occipitoposterior position, antepartum condition or complication",0
653.6,"Hydrocephalic fetus causing disproportion, unspecified as to episode of care or not applicable",0
676,"Retracted nipple associated with childbirth, unspecified as to episode of care or not applicable",0
676.92,"Unspecified disorder of lactation, delivered, with mention of postpartum complication",0
653.63,"Hydrocephalic fetus causing disproportion, antepartum condition or complication",0
653.61,"Hydrocephalic fetus causing disproportion, delivered, with or without mention of antepartum condition",0
664.6,"Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration, unspecified as to episode of care or not applicable",0
636.11,"Illegally induced abortion, complicated by delayed or excessive hemorrhage, incomplete",0
666.04,"Third-stage postpartum hemorrhage, postpartum condition or complication",0
670,"Major puerperal infection, unspecified as to episode of care or not applicable",0
763.89,Other specified complications of labor and delivery affecting fetus or newborn,0
763.7,Abnormal uterine contractions affecting fetus or newborn,0
654.72,"Congenital or acquired abnormality of vagina, delivered, with mention of postpartum complication",0
671.1,"Varicose veins of vulva and perineum complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable",0
661.13,"Secondary uterine inertia, antepartum condition or complication",0
651.2,"Quadruplet pregnancy, unspecified as to episode of care or not applicable",0
654.94,"Other and unspecified abnormality of organs and soft tissues of pelvis, postpartum condition or complication",0
675.12,"Abscess of breast associated with childbirth, delivered, with mention of postpartum complication",0
651.41,"Triplet pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition",0
671.22,"Superficial thrombophlebitis complicating pregnancy and the puerperium, delivered, with mention of postpartum complication",0
675.94,"Unspecified infection of the breast and nipple associated with childbirth, postpartum condition or complication",0
675.84,"Other specified infections of the breast and nipple associated with childbirth, postpartum condition or complication",0
676.21,"Engorgement of breasts associated with childbirth, delivered, with or without mention of antepartum condition",0
641.31,"Antepartum hemorrhage associated with coagulation defects, delivered, with or without mention of antepartum condition",0
634.2,"Spontaneous abortion, complicated by damage to pelvic organs or tissues, unspecified",0
656.01,"Fetal-maternal hemorrhage, delivered, with or without mention of antepartum condition",0
658.9,"Unspecified problem associated with amniotic cavity and membranes, unspecified as to episode of care or not applicable",0
675.1,"Abscess of breast associated with childbirth, unspecified as to episode of care or not applicable",0
647,"Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",0
653.21,"Inlet contraction of pelvis, delivered, with or without mention of antepartum condition",0
652.53,"High head at term, antepartum condition or complication",0
647.14,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication",0
652.73,"Prolapsed arm of fetus, antepartum condition or complication",0
664.94,"Unspecified trauma to perineum and vulva, postpartum condition or complication",0
651.7,"Multiple gestation following (elective) fetal reduction, unspecified as to episode of care or not applicable",0
651.71,"Multiple gestation following (elective) fetal reduction,delivered, with or without mention of antepartum condition",0
651.43,"Triplet pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication",0
653.93,"Unspecified disproportion, antepartum condition or complication",0
653.33,"Outlet contraction of pelvis, antepartum condition or complication",0
639.2,Damage to pelvic organs and tissues following abortion or ectopic and molar pregnancies,0
668.12,"Cardiac complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication",0
662.13,"Unspecified prolonged labor, antepartum condition or complication",0
763.84,Meconium passage during delivery,0
660.2,"Obstruction by abnormal pelvic soft tissues during labor, unspecified as to episode of care or not applicable",0
675.9,"Unspecified infection of the breast and nipple associated with childbirth, unspecified as to episode of care or not applicable",0
664.8,"Other specified trauma to perineum and vulva, unspecified as to episode of care or not applicable",0
635.11,"Legally induced abortion, complicated by delayed or excessive hemorrhage, incomplete",0
664.3,"Fourth-degree perineal laceration, unspecified as to episode of care or not applicable",0
674.92,"Unspecified complications of puerperium, delivered, with mention of postpartum complication",0
674.4,"Placental polyp, unspecified as to episode of care or not applicable",0
763.82,Abnormality in fetal heart rate or rhythm during labor,0
655.5,"Suspected damage to fetus from drugs, affecting management of mother, unspecified as to episode of care or not applicable",0
652.4,"Face or brow presentation, unspecified as to episode of care or not applicable",0
660.03,"Obstruction caused by malposition of fetus at onset of labor, antepartum condition or complication",0
662.31,"Delayed delivery of second twin, triplet, etc., delivered, with or without mention of antepartum condition",0
669.94,"Unspecified complication of labor and delivery, postpartum condition or complication",0
639.6,Embolism following abortion or ectopic and molar pregnancies,0
665.3,"Laceration of cervix, unspecified as to episode of care or not applicable",0
647.44,"Malaria in the mother, postpartum condition or complication",0
637.7,"Unspecified abortion, with other specified complications, unspecified",0
652,"Unstable lie, unspecified as to episode of care or not applicable",0
653.5,"Unusually large fetus causing disproportion, unspecified as to episode of care or not applicable",0
646.52,"Asymptomatic bacteriuria in pregnancy, delivered, with mention of postpartum complication",0
654.12,"Tumors of body of uterus, delivered, with mention of postpartum complication",0
651.3,"Twin pregnancy with fetal loss and retention of one fetus, unspecified as to episode of care or not applicable",0
642.14,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, postpartum condition or complication",0
653.7,"Other fetal abnormality causing disproportion, unspecified as to episode of care or not applicable",0
669.84,"Other complications of labor and delivery, postpartum condition or complication",0
648.52,"Congenital cardiovascular disorders of mother, delivered, with mention of postpartum complication",0
670.34,"Puerperal septic thrombophlebitis, postpartum condition or complication",0
O13.4,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth",0
O34.211,Maternal care for low transverse scar from previous cesarean delivery,1
O99.019,"Anemia complicating pregnancy, unspecified trimester",0
O34.219,Maternal care for unspecified type scar from previous cesarean delivery,1
O34.40,"Maternal care for other abnormalities of cervix, unspecified trimester",0
O26.893,"Other specified pregnancy related conditions, third trimester",0
O35.8XX0,"Maternal care for other (suspected) fetal abnormality and damage, not applicable or unspecified",0
O99.891,Other specified diseases and conditions complicating pregnancy,0
O26.843,"Uterine size-date discrepancy, third trimester",0
O34.42,"Maternal care for other abnormalities of cervix, second trimester",0
O99.013,"Anemia complicating pregnancy, third trimester",0
O23.42,"Unspecified infection of urinary tract in pregnancy, second trimester",0
O99.02,Anemia complicating childbirth,0
O99.214,Obesity complicating childbirth,0
O13.3,"Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester",1
