"diagnosis_code","diagnosis_description"
"641.23","Premature separation of placenta, antepartum condition or complication"
"647.43","Malaria in the mother, antepartum condition or complication"
"643.2","Late vomiting of pregnancy, unspecified as to episode of care or not applicable"
"642.34","Transient hypertension of pregnancy, postpartum condition or complication"
"669.32","Acute kidney failure following labor and delivery, delivered, with mention of postpartum complication"
"666.32","Postpartum coagulation defects, delivered, with mention of postpartum complication"
"642.21","Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition"
"656.73","Other placental conditions, affecting management of mother, antepartum condition or complication"
"649.32","Coagulation defects complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
"649","Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
"641.83","Other antepartum hemorrhage, antepartum condition or complication"
"633","Abdominal pregnancy without intrauterine pregnancy"
"643.13","Hyperemesis gravidarum with metabolic disturbance, antepartum condition or complication"
"654.01","Congenital abnormalities of uterus, delivered, with or without mention of antepartum condition"
"658","Oligohydramnios, unspecified as to episode of care or not applicable"
"641.03","Placenta previa without hemorrhage, antepartum condition or complication"
"646.51","Asymptomatic bacteriuria in pregnancy, delivered, with or without mention of antepartum condition"
"649.5","Spotting complicating pregnancy, unspecified as to episode of care or not applicable"
"646.3","Recurrent pregnancy loss, unspecified as to episode of care or not applicable"
"642.2","Other pre-existing hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable"
"642.13","Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication"
"635.92","Legally induced abortion, without mention of complication, complete"
"646.21","Unspecified renal disease in pregnancy, without mention of hypertension, delivered, with or without mention of antepartum condition"
"635.9","Legally induced abortion, without mention of complication, unspecified"
"671.33","Deep phlebothrombosis, antepartum, antepartum condition or complication"
"647.91","Unspecified infection or infestation of mother, delivered, with or without mention of antepartum condition"
"647.64","Other viral diseases in the mother, postpartum condition or complication"
"648.14","Thyroid dysfunction of mother, postpartum condition or complication"
"674.34","Other complications of obstetrical surgical wounds, postpartum condition or complication"
"647.84","Other specified infectious and parasitic diseases of mother, postpartum condition or complication"
"668.8","Other complications of anesthesia or other sedation in labor and delivery, unspecified as to episode of care or not applicable"
"642.94","Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
"669.04","Maternal distress complicating labor and delivery, postpartum condition or complication"
"668.84","Other complications of anesthesia or other sedation in labor and delivery, postpartum condition or complication"
"652.7","Prolapsed arm of fetus, unspecified as to episode of care or not applicable"
"645.13","Post term pregnancy, antepartum condition or complication"
"641.1","Hemorrhage from placenta previa, unspecified as to episode of care or not applicable"
"641.01","Placenta previa without hemorrhage, delivered, with or without mention of antepartum condition"
"649.2","Bariatric surgery status complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
"649.51","Spotting complicating pregnancy, delivered, with or without mention of antepartum condition"
"670.1","Puerperal endometritis, unspecified as to episode of care or not applicable"
"674.94","Unspecified complications of puerperium, postpartum condition or complication"
"648.63","Other cardiovascular diseases of mother, antepartum condition or complication"
"671.82","Other venous complications of pregnancy and the puerperium, delivered, with mention of postpartum complication"
"641.11","Hemorrhage from placenta previa, delivered, with or without mention of antepartum condition"
"661.21","Other and unspecified uterine inertia, delivered, with or without mention of antepartum condition"
"762.3","Placental transfusion syndromes affecting fetus or newborn"
"659.81","Other specified indications for care or intervention related to labor and delivery, delivered, with or without mention of antepartum condition"
"642.72","Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with mention of postpartum complication"
"676.32","Other and unspecified disorder of breast associated with childbirth, delivered, with mention of postpartum complication"
"676.8","Other disorders of lactation, unspecified as to episode of care or not applicable"
"649.4","Epilepsy complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
"652.91","Unspecified malposition or malpresentation, delivered, with or without mention of antepartum condition"
"652.71","Prolapsed arm of fetus, delivered, with or without mention of antepartum condition"
"648.92","Other current conditions classifiable elsewhere of mother, delivered, with mention of postpartum complication"
"641.91","Unspecified antepartum hemorrhage, delivered, with or without mention of antepartum condition"
"669.91","Unspecified complication of labor and delivery, delivered, with or without mention of antepartum condition"
"653.81","Disproportion of other origin, delivered, with or without mention of antepartum condition"
"658.13","Premature rupture of membranes, antepartum condition or complication"
"660.31","Deep transverse arrest and persistent occipitoposterior position, delivered, with or without mention of antepartum condition"
"640.83","Other specified hemorrhage in early pregnancy, antepartum condition or complication"
"663.11","Cord around neck, with compression, complicating labor and delivery, delivered, with or without mention of antepartum condition"
"676.33","Other and unspecified disorder of breast associated with childbirth, antepartum condition or complication"
"654.63","Other congenital or acquired abnormality of cervix, antepartum condition or complication"
"647.13","Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"647.11","Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition"
"674.1","Disruption of cesarean wound, unspecified as to episode of care or not applicable"
"663.93","Unspecified umbilical cord complication complicating labor and delivery, antepartum condition or complication"
"646.7","Liver disorders in pregnancy, unspecified as to episode of care or not applicable"
"633.01","Abdominal pregnancy with intrauterine pregnancy"
"646.2","Unspecified renal disease in pregnancy, without mention of hypertension, unspecified as to episode of care or not applicable"
"654","Congenital abnormalities of uterus, unspecified as to episode of care or not applicable"
"662.1","Unspecified prolonged labor, unspecified as to episode of care or not applicable"
"661.9","Unspecified abnormality of labor, unspecified as to episode of care or not applicable"
"662.11","Unspecified prolonged labor, delivered, with or without mention of antepartum condition"
"669.34","Acute kidney failure following labor and delivery, postpartum condition or complication"
"642.64","Eclampsia, postpartum condition or complication"
"664.41","Unspecified perineal laceration, delivered, with or without mention of antepartum condition"
"647.23","Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
"670.24","Puerperal sepsis, postpartum condition or complication"
"648.04","Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
"652.63","Multiple gestation with malpresentation of one fetus or more, antepartum condition or complication"
"642.11","Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition"
"649.7","Cervical shortening, unspecified as to episode of care or not applicable"
"666.14","Other immediate postpartum hemorrhage, postpartum condition or complication"
"640.01","Threatened abortion, delivered, with or without mention of antepartum condition"
"655.43","Suspected damage to fetus from other disease in the mother, affecting management of mother, antepartum condition or complication"
"664.21","Third-degree perineal laceration, delivered, with or without mention of antepartum condition"
"671.31","Deep phlebothrombosis, antepartum, delivered, with or without mention of antepartum condition"
"656.31","Fetal distress, affecting management of mother, delivered, with or without mention of antepartum condition"
"655.91","Unspecified suspected fetal abnormality, affecting management of mother, delivered, with or without mention of antepartum condition"
"666.02","Third-stage postpartum hemorrhage, delivered, with mention of postpartum complication"
"656.41","Intrauterine death, affecting management of mother, delivered, with or without mention of antepartum condition"
"654.81","Congenital or acquired abnormality of vulva, delivered, with or without mention of antepartum condition"
"654.73","Congenital or acquired abnormality of vagina, antepartum condition or complication"
"649.71","Cervical shortening, delivered, with or without mention of antepartum condition"
"656.43","Intrauterine death, affecting management of mother, antepartum condition or complication"
"665.41","High vaginal laceration, delivered, with or without mention of antepartum condition"
"643.83","Other vomiting complicating pregnancy, antepartum condition or complication"
"643.01","Mild hyperemesis gravidarum, delivered, with or without mention of antepartum condition"
"647.8","Other specified infectious and parasitic diseases of mother, unspecified as to episode of care or not applicable"
"648.02","Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
"646.5","Asymptomatic bacteriuria in pregnancy, unspecified as to episode of care or not applicable"
"652.01","Unstable lie, delivered, with or without mention of antepartum condition"
"667.12","Retained portions of placenta or membranes, without hemorrhage, delivered, with mention of postpartum complication"
"649.61","Uterine size date discrepancy, delivered, with or without mention of antepartum condition"
"671.81","Other venous complications of pregnancy and the puerperium, delivered, with or without mention of antepartum condition"
"655.8","Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, unspecified as to episode of care or not applicable"
"646.43","Peripheral neuritis in pregnancy, antepartum condition or complication"
"655.2","Hereditary disease in family possibly affecting fetus, affecting management of mother, unspecified as to episode of care or not applicable"
"648.34","Drug dependence of mother, postpartum condition or complication"
"666","Third-stage postpartum hemorrhage, unspecified as to episode of care or not applicable"
"648.3","Drug dependence of mother, unspecified as to episode of care or not applicable"
"648.54","Congenital cardiovascular disorders of mother, postpartum condition or complication"
"649.81","Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section, delivered, with or without mention of antepartum condition"
"643.8","Other vomiting complicating pregnancy, unspecified as to episode of care or not applicable"
"663.8","Other umbilical cord complications complicating labor and delivery, unspecified as to episode of care or not applicable"
"653.51","Unusually large fetus causing disproportion, delivered, with or without mention of antepartum condition"
"671.53","Other phlebitis and thrombosis complicating pregnancy and the puerperium, antepartum condition or complication"
"668.21","Central nervous system complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition"
"675.2","Nonpurulent mastitis associated with childbirth, unspecified as to episode of care or not applicable"
"655.11","Chromosomal abnormality in fetus, affecting management of mother, delivered, with or without mention of antepartum condition"
"651.33","Twin pregnancy with fetal loss and retention of one fetus, antepartum condition or complication"
"651.31","Twin pregnancy with fetal loss and retention of one fetus, delivered, with or without mention of antepartum condition"
"651.63","Other multiple pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication"
"633.2","Ovarian pregnancy without intrauterine pregnancy"
"669.21","Maternal hypotension syndrome, delivered, with or without mention of antepartum condition"
"634.1","Spontaneous abortion, complicated by delayed or excessive hemorrhage, unspecified"
"653.41","Fetopelvic disproportion, delivered, with or without mention of antepartum condition"
"647.1","Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
"660.23","Obstruction by abnormal pelvic soft tissues during labor, antepartum condition or complication"
"669.83","Other complications of labor and delivery, antepartum condition or complication"
"652.9","Unspecified malposition or malpresentation, unspecified as to episode of care or not applicable"
"655.1","Chromosomal abnormality in fetus, affecting management of mother, unspecified as to episode of care or not applicable"
"661.03","Primary uterine inertia, antepartum condition or complication"
"669.24","Maternal hypotension syndrome, postpartum condition or complication"
"642.61","Eclampsia, delivered, with or without mention of antepartum condition"
"665.01","Rupture of uterus before onset of labor, delivered, with or without mention of antepartum condition"
"676.24","Engorgement of breasts associated with childbirth, postpartum condition or complication"
"642.32","Transient hypertension of pregnancy, delivered, with mention of postpartum complication"
"634.8","Spontaneous abortion, with unspecified complication, unspecified"
"634.61","Spontaneous abortion, complicated by embolism, incomplete"
"639.1","Delayed or excessive hemorrhage following abortion or ectopic and molar pregnancies"
"637","Unspecified abortion, complicated by genital tract and pelvic infection, unspecified"
"653.1","Generally contracted pelvis, unspecified as to episode of care or not applicable"
"654.42","Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with mention of postpartum complication"
"665.72","Pelvic hematoma, delivered with mention of postpartum complication"
"673.22","Obstetrical blood-clot embolism, delivered, with mention of postpartum complication"
"666.22","Delayed and secondary postpartum hemorrhage, delivered, with mention of postpartum complication"
"651.83","Other specified multiple gestation, antepartum condition or complication"
"672.02","Pyrexia of unknown origin during the puerperium, delivered, with mention of postpartum complication"
"649.42","Epilepsy complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
"642.63","Eclampsia, antepartum condition or complication"
"630","Hydatidiform mole"
"631","Other abnormal product of conception"
"660.4","Shoulder (girdle) dystocia, unspecified as to episode of care or not applicable"
"648.32","Drug dependence of mother, delivered, with mention of postpartum complication"
"669.41","Other complications of obstetrical surgery and procedures, delivered, with or without mention of antepartum condition"
"673.21","Obstetrical blood-clot embolism, delivered, with or without mention of antepartum condition"
"674.9","Unspecified complications of puerperium, unspecified as to episode of care or not applicable"
"662.21","Prolonged second stage of labor, delivered, with or without mention of antepartum condition"
"643.91","Unspecified vomiting of pregnancy, delivered, with or without mention of antepartum condition"
"670.82","Other major puerperal infection, delivered, with mention of postpartum complication"
"671.23","Superficial thrombophlebitis complicating pregnancy and the puerperium, antepartum condition or complication"
"763.83","Abnormality in fetal heart rate or rhythm, unspecified as to time of onset"
"651.61","Other multiple pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition"
"671.11","Varicose veins of vulva and perineum complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition"
"660.9","Unspecified obstructed labor, unspecified as to episode of care or not applicable"
"648.62","Other cardiovascular diseases of mother, delivered, with mention of postpartum complication"
"666.2","Delayed and secondary postpartum hemorrhage, unspecified as to episode of care or not applicable"
"674.52","Peripartum cardiomyopathy, delivered, with mention of postpartum condition"
"676.94","Unspecified disorder of lactation, postpartum condition or complication"
"669.5","Forceps or vacuum extractor delivery without mention of indication, unspecified as to episode of care or not applicable"
"634.01","Spontaneous abortion, complicated by genital tract and pelvic infection, incomplete"
"634.71","Spontaneous abortion, with other specified complications, incomplete"
"634.02","Spontaneous abortion, complicated by genital tract and pelvic infection, complete"
"634.51","Spontaneous abortion, complicated by shock, incomplete"
"637.81","Unspecified abortion, with unspecified complication, incomplete"
"664.1","Second-degree perineal laceration, unspecified as to episode of care or not applicable"
"670.22","Puerperal sepsis, delivered, with mention of postpartum complication"
"642.92","Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
"640.91","Unspecified hemorrhage in early pregnancy, delivered, with or without mention of antepartum condition"
"675.13","Abscess of breast associated with childbirth, antepartum condition or complication"
"675.24","Nonpurulent mastitis associated with childbirth, postpartum condition or complication"
"675.22","Nonpurulent mastitis associated with childbirth, delivered, with mention of postpartum complication"
"647.94","Unspecified infection or infestation of mother, postpartum condition or complication"
"672.04","Pyrexia of unknown origin during the puerperium, postpartum condition or complication"
"655.01","Central nervous system malformation in fetus, delivered, with or without mention of antepartum condition"
"659.01","Failed mechanical induction of labor, delivered, with or without mention of antepartum condition"
"635.72","Legally induced abortion, with other specified complications, complete"
"655.9","Unspecified suspected fetal abnormality, affecting management of mother, unspecified as to episode of care or not applicable"
"643.1","Hyperemesis gravidarum with metabolic disturbance, unspecified as to episode of care or not applicable"
"672","Pyrexia of unknown origin during the puerperium, unspecified as to episode of care or not applicable"
"668.82","Other complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication"
"670.02","Major puerperal infection, delivered, with mention of postpartum complication"
"663.83","Other umbilical cord complications complicating labor and delivery, antepartum condition or complication"
"655.21","Hereditary disease in family possibly affecting fetus, affecting management of mother, delivered, with or without mention of antepartum condition"
"674.3","Other complications of obstetrical surgical wounds, unspecified as to episode of care or not applicable"
"641.3","Antepartum hemorrhage associated with coagulation defects, unspecified as to episode of care or not applicable"
"676.04","Retracted nipple associated with childbirth, postpartum condition or complication"
"654.71","Congenital or acquired abnormality of vagina, delivered, with or without mention of antepartum condition"
"675.23","Nonpurulent mastitis associated with childbirth, antepartum condition or complication"
"656.4","Intrauterine death, affecting management of mother, unspecified as to episode of care or not applicable"
"634.11","Spontaneous abortion, complicated by delayed or excessive hemorrhage, incomplete"
"652.51","High head at term, delivered, with or without mention of antepartum condition"
"654.33","Retroverted and incarcerated gravid uterus, antepartum condition or complication"
"669.82","Other complications of labor and delivery, delivered, with mention of postpartum complication"
"674.22","Disruption of perineal wound, delivered, with mention of postpartum complication"
"653.73","Other fetal abnormality causing disproportion, antepartum condition or complication"
"664.91","Unspecified trauma to perineum and vulva, delivered, with or without mention of antepartum condition"
"655","Central nervous system malformation in fetus, unspecified as to episode of care or not applicable"
"671.02","Varicose veins of legs complicating pregnancy and the puerperium, delivered, with mention of postpartum complication"
"670.84","Other major puerperal infection, postpartum condition or complication"
"641","Placenta previa without hemorrhage, unspecified as to episode of care or not applicable"
"674.24","Disruption of perineal wound, postpartum condition or complication"
"642.24","Other pre-existing hypertension,complicating pregnancy, childbirth, and the puerperium, , postpartum condition or complication"
"760.71","Alcohol affecting fetus or newborn via placenta or breast milk"
"642.62","Eclampsia, delivered, with mention of postpartum complication"
"668.01","Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition"
"664.51","Vulvar and perineal hematoma, delivered, with or without mention of antepartum condition"
"640.8","Other specified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable"
"658.3","Delayed delivery after artificial rupture of membranes, unspecified as to episode of care or not applicable"
"674.03","Cerebrovascular disorders in the puerperium, antepartum condition or complication"
"674.01","Cerebrovascular disorders in the puerperium, delivered, with or without mention of antepartum condition"
"659.13","Failed medical or unspecified induction of labor, antepartum condition or complication"
"669.22","Maternal hypotension syndrome, delivered, with mention of postpartum complication"
"646.01","Papyraceous fetus, delivered, with or without mention of antepartum condition"
"675.14","Abscess of breast associated with childbirth, postpartum condition or complication"
"664.14","Second-degree perineal laceration, postpartum condition or complication"
"642.54","Severe pre-eclampsia, postpartum condition or complication"
"667.14","Retained portions of placenta or membranes, without hemorrhage, postpartum condition or complication"
"665.64","Damage to pelvic joints and ligaments, postpartum condition or complication"
"635.91","Legally induced abortion, without mention of complication, incomplete"
"669.23","Maternal hypotension syndrome, antepartum condition or complication"
"659.31","Generalized infection during labor, delivered, with or without mention of antepartum condition"
"656.93","Unspecified fetal and placental problem, affecting management of mother, antepartum condition or complication"
"674.04","Cerebrovascular disorders in the puerperium, postpartum condition or complication"
"671.2","Superficial thrombophlebitis complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable"
"649.02","Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
"660.11","Obstruction by bony pelvis during labor, delivered, with or without mention of antepartum condition"
"647.62","Other viral diseases in the mother, delivered, with mention of postpartum complication"
"651.1","Triplet pregnancy, unspecified as to episode of care or not applicable"
"651.11","Triplet pregnancy, delivered, with or without mention of antepartum condition"
"671.13","Varicose veins of vulva and perineum complicating pregnancy and the puerperium, antepartum condition or complication"
"670.04","Major puerperal infection, postpartum condition or complication"
"664.84","Other specified trauma to perineum and vulva, postpartum condition or complication"
"674.8","Other complications of puerperium, unspecified as to episode of care or not applicable"
"654.54","Cervical incompetence, postpartum condition or complication"
"661.93","Unspecified abnormality of labor, antepartum condition or complication"
"676.91","Unspecified disorder of lactation, delivered, with or without mention of antepartum condition"
"665.1","Rupture of uterus during labor, unspecified as to episode of care or not applicable"
"648.74","Bone and joint disorders of back, pelvis, and lower limbs of mother, postpartum condition or complication"
"654.14","Tumors of body of uterus, postpartum condition or complication"
"665.93","Unspecified obstetrical trauma, antepartum condition or complication"
"652.93","Unspecified malposition or malpresentation, antepartum condition or complication"
"634.72","Spontaneous abortion, with other specified complications, complete"
"661.2","Other and unspecified uterine inertia, unspecified as to episode of care or not applicable"
"671.24","Superficial thrombophlebitis complicating pregnancy and the puerperium, postpartum condition or complication"
"642.02","Benign essential hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication"
"633.11","Tubal pregnancy with intrauterine pregnancy"
"639.8","Other specified complications following abortion or ectopic and molar pregnancy"
"647.12","Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
"660.63","Unspecified failed trial of labor, antepartum condition or complication"
"760.3","Other chronic maternal circulatory and respiratory diseases affecting fetus or newborn"
"646.24","Unspecified renal disease in pregnancy, without mention of hypertension, postpartum condition or complication"
"648.72","Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with mention of postpartum complication"
"676.14","Cracked nipple associated with childbirth, postpartum condition or complication"
"655.63","Suspected damage to fetus from radiation, affecting management of mother, antepartum condition or complication"
"663.41","Short cord complicating labor and delivery, delivered, with or without mention of antepartum condition"
"665.91","Unspecified obstetrical trauma, delivered, with or without mention of antepartum condition"
"648.5","Congenital cardiovascular disorders of mother, unspecified as to episode of care or not applicable"
"634.52","Spontaneous abortion, complicated by shock, complete"
"667","Retained placenta without hemorrhage, unspecified as to episode of care or not applicable"
"654.31","Retroverted and incarcerated gravid uterus, delivered, with mention of antepartum condition"
"651.23","Quadruplet pregnancy, antepartum condition or complication"
"673.23","Obstetrical blood-clot embolism, antepartum condition or complication"
"662.2","Prolonged second stage of labor, unspecified as to episode of care or not applicable"
"659.1","Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable"
"664.24","Third-degree perineal laceration, postpartum condition or complication"
"674.51","Peripartum cardiomyopathy, delivered, with or without mention of antepartum condition"
"665.5","Other injury to pelvic organs, unspecified as to episode of care or not applicable"
"660.6","Unspecified failed trial of labor, unspecified as to episode of care or not applicable"
"652.83","Other specified malposition or malpresentation, antepartum condition or complication"
"665.71","Pelvic hematoma, delivered, with or without mention of antepartum condition"
"661.41","Hypertonic, incoordinate, or prolonged uterine contractions, delivered, with or without mention of antepartum condition"
"665.11","Rupture of uterus during labor, delivered, with or without mention of antepartum condition"
"674.2","Disruption of perineal wound, unspecified as to episode of care or not applicable"
"652.6","Multiple gestation with malpresentation of one fetus or more, unspecified as to episode of care or not applicable"
"668.04","Pulmonary complications of anesthesia or other sedation in labor and delivery, postpartum condition or complication"
"660.21","Obstruction by abnormal pelvic soft tissues during labor, delivered, with or without mention of antepartum condition"
"674","Cerebrovascular disorders in the puerperium, unspecified as to episode of care or not applicable"
"664.61","Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration, delivered, with or without mention of antepartum condition"
"661.43","Hypertonic, incoordinate, or prolonged uterine contractions, antepartum condition or complication"
"653.01","Major abnormality of bony pelvis, not further specified, delivered, with or without mention of antepartum condition"
"656.03","Fetal-maternal hemorrhage, antepartum condition or complication"
"658.31","Delayed delivery after artificial rupture of membranes, delivered, with or without mention of antepartum condition"
"659.03","Failed mechanical induction of labor, antepartum condition or complication"
"663.1","Cord around neck with compression, complicating labor and delivery, unspecified as to episode of care or not applicable"
"673.24","Obstetrical blood-clot embolism, postpartum condition or complication"
"663.2","Other and unspecified cord entanglement, with compression, complicating labor and delivery, unspecified as to episode of care or not applicable"
"658.8","Other problems associated with amniotic cavity and membranes, unspecified as to episode of care or not applicable"
"641.8","Other antepartum hemorrhage, unspecified as to episode of care or not applicable"
"667.04","Retained placenta without hemorrhage, postpartum condition or complication"
"665.03","Rupture of uterus before onset of labor, antepartum condition or complication"
"653.13","Generally contracted pelvis, antepartum condition or complication"
"651.13","Triplet pregnancy, antepartum condition or complication"
"669.9","Unspecified complication of labor and delivery, unspecified as to episode of care or not applicable"
"634.12","Spontaneous abortion, complicated by delayed or excessive hemorrhage, complete"
"647.34","Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication"
"653.71","Other fetal abnormality causing disproportion, delivered, with or without mention of antepartum condition"
"654.4","Other abnormalities in shape or position of gravid uterus and of neighboring structures, unspecified as to episode of care or not applicable"
"647.82","Other specified infectious and parasitic diseases of mother, delivered, with mention of postpartum complication"
"663.51","Vasa previa complicating labor and delivery, delivered, with or without mention of antepartum condition"
"663.5","Vasa previa complicating labor and delivery, unspecified as to episode of care or not applicable"
"663.53","Vasa previa complicating labor and delivery, antepartum condition or complication"
"660.71","Failed forceps or vacuum extractor, unspecified, delivered, with or without mention of antepartum condition"
"634.81","Spontaneous abortion, with unspecified complication, incomplete"
"662.01","Prolonged first stage of labor, delivered, with or without mention of antepartum condition"
"671.42","Deep phlebothrombosis, postpartum, delivered, with mention of postpartum complication"
"659.21","Maternal pyrexia during labor, unspecified, delivered, with or without mention of antepartum condition"
"667.1","Retained portions of placenta or membranes, without hemorrhage, unspecified as to episode of care or not applicable"
"658.91","Unspecified problem associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition"
"660.43","Shoulder (girdle) dystocia, antepartum condition or complication"
"648.12","Thyroid dysfunction of mother, delivered, with mention of postpartum complication"
"635.81","Legally induced abortion, with unspecified complication, incomplete"
"655.31","Suspected damage to fetus from viral disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition"
"666.34","Postpartum coagulation defects, postpartum condition or complication"
"658.93","Unspecified problem associated with amniotic cavity and membranes, antepartum condition or complication"
"637.82","Unspecified abortion, with unspecified complication, complete"
"649.82","Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section, delivered, with mention of postpartum complication"
"649.34","Coagulation defects complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
"670.2","Puerperal sepsis, unspecified as to episode of care or not applicable"
"658.83","Other problems associated with amniotic cavity and membranes, antepartum"
"669.8","Other complications of labor and delivery, unspecified as to episode of care or not applicable"
"661.23","Other and unspecified uterine inertia, antepartum condition or complication"
"671.21","Superficial thrombophlebitis complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition"
"669.2","Maternal hypotension syndrome, unspecified as to episode of care or not applicable"
"647.41","Malaria in the mother, delivered, with or without mention of antepartum condition"
"659.8","Other specified indications for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable"
"647.3","Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable"
"645.2","Prolonged pregnancy, unspecified as to episode of care or not applicable"
"637.11","Unspecified abortion, complicated by delayed or excessive hemorrhage, incomplete"
"663.33","Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, antepartum condition or complication"
"649.44","Epilepsy complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
"676.51","Suppressed lactation, delivered, with or without mention of antepartum condition"
"661","Primary uterine inertia, unspecified as to episode of care or not applicable"
"664.2","Third-degree perineal laceration, unspecified as to episode of care or not applicable"
"654.04","Congenital abnormalities of uterus, postpartum condition or complication"
"671.44","Deep phlebothrombosis, postpartum, postpartum condition or complication"
"665.74","Pelvic hematoma, postpartum condition or complication"
"676.93","Unspecified disorder of lactation, antepartum condition or complication"
"659.83","Other specified indications for care or intervention related to labor and delivery, antepartum condition or complication"
"669.01","Maternal distress complicating labor and delivery, delivered, with or without mention of antepartum condition"
"654.3","Retroverted and incarcerated gravid uterus, unspecified as to episode of care or not applicable"
"664.44","Unspecified perineal laceration, postpartum condition or complication"
"640.81","Other specified hemorrhage in early pregnancy, delivered, with or without mention of antepartum condition"
"634","Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified"
"663","Prolapse of cord complicating labor and delivery, unspecified as to episode of care or not applicable"
"661.91","Unspecified abnormality of labor, delivered, with or without mention of antepartum condition"
"675.04","Infections of nipple associated with childbirth, postpartum condition or complication"
"676.81","Other disorders of lactation, delivered, with or without mention of antepartum condition"
"653.11","Generally contracted pelvis, delivered, with or without mention of antepartum condition"
"633.8","Other ectopic pregnancy without intrauterine pregnancy"
"643.11","Hyperemesis gravidarum with metabolic disturbance, delivered, with or without mention of antepartum condition"
"663.03","Prolapse of cord complicating labor and delivery, antepartum condition or complication"
"676.2","Engorgement of breasts associated with childbirth, unspecified as to episode of care or not applicable"
"661.4","Hypertonic, incoordinate, or prolonged uterine contractions, unspecified as to episode of care or not applicable"
"676.31","Other and unspecified disorder of breast associated with childbirth, delivered, with or without mention of antepartum condition"
"668.02","Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication"
"656.91","Unspecified fetal and placental problem, affecting management of mother, delivered, with or without mention of antepartum condition"
"673.12","Amniotic fluid embolism, delivered, with mention of postpartum complication"
"671","Varicose veins of legs complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable"
"653.53","Unusually large fetus causing disproportion, antepartum condition or complication"
"662","Prolonged first stage of labor, unspecified as to episode of care or not applicable"
"652.03","Unstable lie, antepartum condition or complication"
"647.53","Rubella in the mother, antepartum condition or complication"
"665.22","Inversion of uterus, delivered, with mention of postpartum complication"
"659.91","Unspecified indication for care or intervention related to labor and delivery, delivered, with or without mention of antepartum condition"
"664","First-degree perineal laceration, unspecified as to episode of care or not applicable"
